Sr,latency
0,0.000000230
1,0.000000039
2,0.000000039
3,0.000000040
4,0.000000040
5,0.000000040
6,0.000000042
7,0.000000040
8,0.000000040
9,0.000000040
10,0.000000042
11,0.000000041
12,0.000000041
13,0.000000040
14,0.000000040
15,0.000000040
16,0.000000041
17,0.000000040
18,0.000000041
19,0.000000041
20,0.000000040
21,0.000000041
22,0.000000040
23,0.000000042
24,0.000000039
25,0.000000040
26,0.000000040
27,0.000000041
28,0.000000039
29,0.000000040
30,0.000000040
31,0.000000040
32,0.000000041
33,0.000000038
34,0.000000040
35,0.000000040
36,0.000000041
37,0.000000041
38,0.000000040
39,0.000000041
40,0.000000040
41,0.000000040
42,0.000000039
43,0.000000040
44,0.000000040
45,0.000000040
46,0.000000040
47,0.000000040
48,0.000000042
49,0.000000039
50,0.000000040
51,0.000000040
52,0.000000040
53,0.000000040
54,0.000000040
55,0.000000040
56,0.000000040
57,0.000000039
58,0.000000040
59,0.000000039
60,0.000000042
61,0.000000040
62,0.000000040
63,0.000000040
64,0.000000041
65,0.000000040
66,0.000000040
67,0.000000040
68,0.000000039
69,0.000000040
70,0.000000040
71,0.000000041
72,0.000000039
73,0.000000040
74,0.000000040
75,0.000000041
76,0.000000040
77,0.000000040
78,0.000000040
79,0.000000040
80,0.000000039
81,0.000000040
82,0.000000040
83,0.000000041
84,0.000000039
85,0.000000040
86,0.000000039
87,0.000000040
88,0.000000040
89,0.000000040
90,0.000000041
91,0.000000040
92,0.000000041
93,0.000000040
94,0.000000040
95,0.000000040
96,0.000000040
97,0.000000040
98,0.000000040
99,0.000000039
100,0.000000041
101,0.000000040
102,0.000000117
103,0.000000040
104,0.000000040
105,0.000000041
106,0.000000039
107,0.000000041
108,0.000000039
109,0.000000040
110,0.000000040
111,0.000000040
112,0.000000040
113,0.000000039
114,0.000000041
115,0.000000039
116,0.000000040
117,0.000000041
118,0.000000039
119,0.000000041
120,0.000000040
121,0.000000039
122,0.000000040
123,0.000000040
124,0.000000041
125,0.000000040
126,0.000000040
127,0.000000038
128,0.000000040
129,0.000000039
130,0.000000041
131,0.000000041
132,0.000000039
133,0.000000040
134,0.000000042
135,0.000000040
136,0.000000041
137,0.000000040
138,0.000000040
139,0.000000039
140,0.000000041
141,0.000000040
142,0.000000040
143,0.000000040
144,0.000000040
145,0.000000038
146,0.000000042
147,0.000000041
148,0.000000039
149,0.000000040
150,0.000000041
151,0.000000040
152,0.000000040
153,0.000000041
154,0.000000040
155,0.000000040
156,0.000000040
157,0.000000040
158,0.000000040
159,0.000000040
160,0.000000040
161,0.000000041
162,0.000000040
163,0.000000039
164,0.000000040
165,0.000000041
166,0.000000041
167,0.000000040
168,0.000000039
169,0.000000040
170,0.000000041
171,0.000000039
172,0.000000039
173,0.000000041
174,0.000000041
175,0.000000040
176,0.000000040
177,0.000000040
178,0.000000042
179,0.000000040
180,0.000000039
181,0.000000039
182,0.000000040
183,0.000000040
184,0.000000041
185,0.000000040
186,0.000000040
187,0.000000040
188,0.000000041
189,0.000000040
190,0.000000040
191,0.000000038
192,0.000000040
193,0.000000040
194,0.000000041
195,0.000000042
196,0.000000040
197,0.000000039
198,0.000000040
199,0.000000040
200,0.000000040
201,0.000000040
202,0.000000042
203,0.000000040
204,0.000000041
205,0.000000038
206,0.000000040
207,0.000000041
208,0.000000042
209,0.000000040
210,0.000000039
211,0.000000039
212,0.000000038
213,0.000000040
214,0.000000040
215,0.000000040
216,0.000000041
217,0.000000041
218,0.000000040
