Sr,latency
0,0.002315471
1,0.002271595
2,0.002320147
3,0.002342237
4,0.002255800
5,0.002249170
6,0.002303726
7,0.002228635
8,0.002240887
9,0.002348809
10,0.002282540
11,0.002373521
12,0.002296531
13,0.002277066
14,0.002360819
15,0.002267833
16,0.002301068
17,0.002262718
18,0.002273043
19,0.002344140
20,0.002333080
21,0.002281320
22,0.002244423
23,0.002312551
24,0.002268224
25,0.002307547
26,0.002342838
27,0.002270097
28,0.002336177
29,0.002267997
30,0.002304756
31,0.002268345
32,0.002319726
33,0.002343700
34,0.002266150
35,0.002286598
36,0.002278013
37,0.002315921
38,0.002213699
39,0.002257369
40,0.002248060
41,0.002245982
42,0.002277290
43,0.002218656
44,0.002252972
45,0.002213422
46,0.002246649
47,0.002240453
48,0.002226284
49,0.002247662
50,0.002214709
51,0.002251364
52,0.002213342
53,0.002248548
54,0.002214916
55,0.002274989
56,0.002259224
57,0.002223695
58,0.002255181
59,0.002231187
60,0.002248371
61,0.002221686
62,0.002285537
63,0.002249396
64,0.002258246
65,0.002259733
66,0.002217025
67,0.002266796
68,0.002222670
69,0.002223265
70,0.002223674
71,0.002256302
72,0.002257418
73,0.002221140
74,0.002335714
75,0.002358387
76,0.002379482
77,0.002384569
78,0.002340536
79,0.002324874
80,0.002342553
81,0.002450349
82,0.002332421
83,0.002402447
84,0.002379021
85,0.002357845
86,0.002376267
87,0.002354583
88,0.002324501
89,0.002318219
90,0.002362372
91,0.002305809
92,0.002217627
93,0.002249994
94,0.002213826
95,0.002253427
96,0.002386082
97,0.002425453
98,0.002406126
99,0.002319329
100,0.002338788
101,0.002343405
102,0.002344340
103,0.002422453
104,0.002355299
105,0.002337406
106,0.002347159
107,0.002374591
108,0.002426378
109,0.002391870
110,0.002393368
111,0.002364736
112,0.002388749
113,0.002406366
114,0.002296202
115,0.002495882
116,0.002354541
117,0.002493000
118,0.002523448
119,0.002504321
120,0.002492754
121,0.002548772
122,0.002443122
123,0.002533304
124,0.002309798
125,0.002278991
126,0.002401063
127,0.002331236
128,0.002305985
129,0.002292706
130,0.002320900
131,0.002286594
132,0.002293001
133,0.002323590
134,0.002287525
135,0.002337190
136,0.002286487
137,0.002450864
138,0.002335956
139,0.002283697
140,0.002287920
141,0.002308201
142,0.002326946
143,0.002285777
144,0.002456904
145,0.002315875
146,0.002282758
147,0.002328304
148,0.002286401
149,0.002345660
150,0.002281894
151,0.002283774
152,0.002331301
153,0.002271426
154,0.002334399
155,0.002270784
156,0.002298063
157,0.002292669
158,0.002316890
159,0.002426409
160,0.002417337
161,0.002288415
162,0.002286893
163,0.002318969
164,0.002321386
165,0.002285319
166,0.002293235
167,0.002285299
168,0.002326147
169,0.002319149
170,0.002300081
171,0.002338292
172,0.002295720
173,0.002311930
174,0.002486420
175,0.002583301
176,0.002467211
177,0.002444406
178,0.002585020
179,0.002415653
180,0.002398547
181,0.002417169
182,0.002302591
183,0.002310839
184,0.002285549
185,0.002326947
186,0.002307070
187,0.002268663
188,0.002307185
189,0.002270933
190,0.002334572
191,0.002261799
192,0.002287146
193,0.002304757
194,0.002271679
195,0.002307359
196,0.002267725
197,0.002277555
198,0.002273905
199,0.002306444
200,0.002389403
201,0.002322815
202,0.002281841
203,0.002334072
204,0.002316539
205,0.002305324
206,0.002276220
207,0.002340184
208,0.002299772
209,0.002280251
210,0.002213676
211,0.002254331
212,0.002250654
213,0.002213733
214,0.002246965
215,0.002241868
216,0.002384102
217,0.002341180
218,0.002410005
219,0.002349408
220,0.002328333
221,0.002346803
222,0.002361867
223,0.002363138
224,0.002361021
225,0.002325966
226,0.002349189
227,0.002344852
228,0.002419560
229,0.002367042
230,0.002344474
231,0.002312902
232,0.002299444
233,0.002316427
234,0.002286898
235,0.002321865
236,0.002325626
237,0.002286110
238,0.002323304
239,0.002285774
240,0.002297625
241,0.002281267
242,0.002317551
243,0.002324719
244,0.002287218
245,0.002292794
246,0.002360030
247,0.002307454
248,0.002268246
249,0.002309908
250,0.002306577
251,0.002272775
252,0.002283655
253,0.002269211
254,0.002249302
255,0.002248719
256,0.002256080
257,0.002247793
258,0.002237480
259,0.002254788
260,0.002280748
261,0.002308069
262,0.002268431
263,0.002284998
264,0.002389127
265,0.002329984
266,0.002392079
267,0.002340543
268,0.002338471
269,0.002365485
270,0.002325434
271,0.002374875
272,0.002385508
273,0.002345466
274,0.002345938
275,0.002371223
276,0.002394768
277,0.002403247
278,0.002378273
279,0.002338058
280,0.002328141
281,0.002326410
282,0.002270085
283,0.002287830
284,0.002270338
285,0.002350425
286,0.002294711
287,0.002303922
288,0.002289283
289,0.002285488
290,0.002287277
291,0.002216291
292,0.002334041
293,0.002249076
294,0.002249705
295,0.002251836
296,0.002213562
297,0.002248728
298,0.002276761
299,0.002306416
300,0.002307423
301,0.002295003
302,0.002342063
303,0.002300730
304,0.002330116
305,0.002285434
306,0.002332372
307,0.002273188
308,0.002337748
309,0.002310279
310,0.002507797
311,0.002363474
312,0.002326537
313,0.002322950
314,0.002333867
315,0.002284554
316,0.002299826
317,0.002316598
318,0.002341821
319,0.002288143
320,0.002312731
321,0.002316671
322,0.002343460
323,0.002309918
324,0.002268923
325,0.002334375
326,0.002307137
327,0.002268087
328,0.002303913
329,0.002219315
330,0.002251816
331,0.002212585
332,0.002342460
333,0.002336541
334,0.002342718
335,0.002447271
336,0.002362276
337,0.002287697
338,0.002279107
339,0.002259345
340,0.002278560
