Sr,Size,Latency
0,1,0.000003577
1,1,0.000000807
2,1,0.000000671
3,1,0.000000542
4,1,0.000000831
5,1,0.000000642
6,1,0.000000615
7,1,0.000000535
8,1,0.000000562
9,1,0.000000588
10,1,0.000000580
11,1,0.000000672
12,1,0.000000572
13,1,0.000001019
14,1,0.000000540
15,1,0.000000612
16,1,0.000000623
17,1,0.000000524
18,1,0.000000505
19,1,0.000000567
20,1,0.000000670
21,1,0.000000707
22,1,0.000000542
23,1,0.000000525
24,1,0.000000696
25,1,0.000000689
26,1,0.000000588
27,1,0.000000664
28,1,0.000000694
29,1,0.000000579
30,1,0.000000576
31,1,0.000000589
32,1,0.000000596
33,1,0.000000576
34,1,0.000000750
35,1,0.000000510
36,1,0.000000558
37,1,0.000000543
38,1,0.000000681
39,1,0.000000661
40,1,0.000000785
41,1,0.000000603
42,1,0.000000574
43,1,0.000000529
44,1,0.000000587
45,1,0.000000712
46,1,0.000000647
47,1,0.000000551
48,1,0.000000593
49,1,0.000000546
50,1,0.000000601
51,1,0.000000538
52,1,0.000000814
53,1,0.000000561
54,1,0.000000626
55,1,0.000000564
56,1,0.000000560
57,1,0.000000565
58,1,0.000000611
59,1,0.000000623
60,1,0.000000621
61,1,0.000000666
62,1,0.000000656
63,1,0.000000700
64,1,0.000000591
65,1,0.000000622
66,1,0.000000619
67,1,0.000000580
68,1,0.000000546
69,1,0.000000550
70,1,0.000000937
71,1,0.000000575
72,1,0.000000542
73,1,0.000000568
74,1,0.000000654
75,1,0.000000647
76,1,0.000000649
77,1,0.000000541
78,1,0.000000627
79,1,0.000000634
80,1,0.000000778
81,1,0.000000676
82,1,0.000000638
83,1,0.000000613
84,1,0.000000574
85,1,0.000000589
86,1,0.000000670
87,1,0.000000657
88,1,0.000000619
89,1,0.000000629
90,1,0.000000571
91,1,0.000000605
92,1,0.000000787
93,1,0.000000545
94,1,0.000000862
95,1,0.000000707
96,1,0.000000647
97,1,0.000000689
98,1,0.000000665
99,1,0.000000638
100,1,0.000000605
101,1,0.000000738
102,1,0.000000527
103,1,0.000000542
104,1,0.000000561
105,1,0.000000622
106,1,0.000000529
107,1,0.000000585
108,1,0.000000537
109,1,0.000000524
110,1,0.000000571
111,1,0.000000537
112,1,0.000000543
113,1,0.000000562
114,1,0.000000689
115,1,0.000000648
116,1,0.000000559
117,1,0.000000603
118,1,0.000000619
119,1,0.000000745
120,1,0.000000596
121,1,0.000000603
122,1,0.000000543
123,1,0.000000572
124,1,0.000000566
125,1,0.000000655
126,1,0.000000556
127,1,0.000000530
128,1,0.000000649
129,1,0.000000539
130,1,0.000000572
131,1,0.000000549
132,1,0.000000620
133,1,0.000000525
134,1,0.000000569
135,1,0.000000575
136,1,0.000000536
137,1,0.000000786
138,1,0.000000741
139,1,0.000000538
140,1,0.000000644
141,1,0.000000666
142,1,0.000000586
143,1,0.000000594
144,1,0.000000606
145,1,0.000000611
146,1,0.000000653
147,1,0.000000542
148,1,0.000000600
149,1,0.000000623
150,1,0.000000705
151,1,0.000000598
152,1,0.000000552
153,1,0.000000597
154,1,0.000000610
155,1,0.000000727
156,1,0.000000651
157,1,0.000000874
158,1,0.000000717
159,1,0.000000646
160,1,0.000000546
161,1,0.000000546
162,1,0.000000558
163,1,0.000000556
164,1,0.000000697
165,1,0.000000582
166,1,0.000000646
167,1,0.000000591
168,1,0.000000702
169,1,0.000000553
170,1,0.000000582
171,1,0.000000748
172,1,0.000000689
173,1,0.000000917
174,1,0.000000902
175,1,0.000000623
176,1,0.000000836
177,1,0.000000527
178,1,0.000000597
179,1,0.000000609
180,1,0.000000724
181,1,0.000000596
182,1,0.000000627
183,1,0.000000779
184,1,0.000000596
185,1,0.000000858
186,1,0.000000732
187,1,0.000000668
188,1,0.000000640
189,1,0.000000727
190,1,0.000000941
191,1,0.000000637
192,1,0.000000846
193,1,0.000000942
194,1,0.000000702
195,1,0.000000710
196,1,0.000000663
197,1,0.000000629
198,1,0.000000870
199,1,0.000000676
200,1,0.000001039
201,1,0.000000841
202,1,0.000000853
203,1,0.000000598
204,1,0.000000577
205,1,0.000000603
206,1,0.000000628
207,1,0.000000655
208,1,0.000000686
209,1,0.000000864
210,1,0.000000700
211,1,0.000000663
212,1,0.000000693
213,1,0.000000709
214,1,0.000000635
215,1,0.000000647
216,1,0.000000837
217,1,0.000000900
218,1,0.000000693
219,1,0.000000730
220,1,0.000000682
221,1,0.000000615
222,1,0.000000675
223,1,0.000000948
224,1,0.000001139
225,1,0.000000707
226,1,0.000000823
227,1,0.000001204
228,1,0.000000546
229,1,0.000000555
230,1,0.000000576
231,1,0.000000605
232,1,0.000000551
233,1,0.000000535
234,1,0.000000607
235,1,0.000000595
236,1,0.000000560
237,1,0.000000683
238,1,0.000000595
239,1,0.000001173
240,1,0.000000636
241,1,0.000000538
242,1,0.000000577
243,1,0.000000577
244,1,0.000000718
245,1,0.000000685
246,1,0.000000607
247,1,0.000000813
248,1,0.000000685
249,1,0.000000603
250,1,0.000000762
251,1,0.000000578
252,1,0.000000586
253,1,0.000000610
254,1,0.000000535
255,1,0.000000910
256,1,0.000000644
257,1,0.000000552
258,1,0.000000617
259,1,0.000000660
260,1,0.000000588
261,1,0.000000631
262,1,0.000000543
263,1,0.000000540
264,1,0.000000625
265,1,0.000000556
266,1,0.000000600
267,1,0.000000600
268,1,0.000000609
269,1,0.000000612
270,1,0.000000592
271,1,0.000000523
272,1,0.000000611
273,1,0.000000548
274,1,0.000000738
275,1,0.000000669
276,1,0.000000672
277,1,0.000000800
278,1,0.000000601
279,1,0.000000618
280,1,0.000000655
281,1,0.000000684
282,1,0.000000625
283,1,0.000000614
284,1,0.000000529
285,1,0.000000653
286,1,0.000000552
287,1,0.000000581
288,1,0.000000596
289,1,0.000000718
290,1,0.000000713
291,1,0.000000942
292,1,0.000000673
293,1,0.000000644
