Sr,Size,Latency
0,1,0.000001793
1,1,0.000001513
2,1,0.000001462
3,1,0.000002670
4,1,0.000001430
5,1,0.000001548
6,1,0.000001471
7,1,0.000001827
8,1,0.000002189
9,1,0.000001478
10,1,0.000001828
11,1,0.000001220
12,1,0.000001193
13,1,0.000001201
14,1,0.000001276
15,1,0.000001325
16,1,0.000001215
17,1,0.000001204
18,1,0.000001240
19,1,0.000001214
20,1,0.000001216
21,1,0.000001041
22,1,0.000001013
23,1,0.000001021
24,1,0.000000993
25,1,0.000001008
26,1,0.000001003
27,1,0.000001020
28,1,0.000001052
29,1,0.000001021
30,1,0.000001049
31,1,0.000001038
32,1,0.000000909
33,1,0.000000891
34,1,0.000000897
35,1,0.000000868
36,1,0.000000910
37,1,0.000000881
38,1,0.000000894
39,1,0.000000891
40,1,0.000000892
41,1,0.000000860
42,1,0.000000878
43,1,0.000000870
44,1,0.000006270
45,1,0.000005577
46,1,0.000005651
47,1,0.000005576
48,1,0.000005447
49,1,0.000005464
50,1,0.000005405
51,1,0.000005206
52,1,0.000005312
53,1,0.000005772
54,1,0.000005475
55,1,0.000005829
56,1,0.000005553
57,1,0.000005390
58,1,0.000005565
59,1,0.000005914
60,1,0.000004855
61,1,0.000005000
62,1,0.000004920
63,1,0.000004722
64,1,0.000004871
65,1,0.000004944
66,1,0.000004617
67,1,0.000004871
68,1,0.000004672
69,1,0.000005053
70,1,0.000004774
71,1,0.000004948
72,1,0.000004862
73,1,0.000004896
74,1,0.000004764
75,1,0.000005038
76,1,0.000005876
77,1,0.000004574
78,1,0.000004418
79,1,0.000004411
80,1,0.000014066
81,1,0.000004626
82,1,0.000004723
83,1,0.000004539
84,1,0.000004650
85,1,0.000004247
86,1,0.000004466
87,1,0.000005042
88,1,0.000004556
89,1,0.000004446
90,1,0.000004415
91,1,0.000004579
92,1,0.000004340
93,1,0.000004498
94,1,0.000005051
95,1,0.000004461
96,1,0.000004403
97,1,0.000004671
98,1,0.000004292
99,1,0.000004540
0,256,0.000000650
1,256,0.000000649
2,256,0.000000653
3,256,0.000000642
4,256,0.000000643
5,256,0.000000682
6,256,0.000000819
7,256,0.000000650
8,256,0.000000786
9,256,0.000000662
10,256,0.000000812
11,256,0.000000627
12,256,0.000000787
13,256,0.000000634
14,256,0.000000795
15,256,0.000000659
16,256,0.000000775
17,256,0.000000647
18,256,0.000000790
19,256,0.000000646
20,256,0.000000657
21,256,0.000000640
22,256,0.000000646
23,256,0.000000635
24,256,0.000000650
25,256,0.000000637
26,256,0.000000659
27,256,0.000000638
28,256,0.000000673
29,256,0.000000633
30,256,0.000000662
31,256,0.000000676
32,256,0.000000659
33,256,0.000000658
34,256,0.000000655
35,256,0.000000649
36,256,0.000000651
37,256,0.000004599
38,256,0.000004463
39,256,0.000004752
40,256,0.000016861
41,256,0.000004497
42,256,0.000004438
43,256,0.000004365
44,256,0.000004310
45,256,0.000004909
46,256,0.000004442
47,256,0.000004282
48,256,0.000004496
49,256,0.000004425
50,256,0.000004632
51,256,0.000004575
52,256,0.000004882
53,256,0.000004546
54,256,0.000004809
55,256,0.000004345
56,256,0.000005074
57,256,0.000004476
58,256,0.000004737
59,256,0.000004543
60,256,0.000004605
61,256,0.000004573
62,256,0.000004726
63,256,0.000004490
64,256,0.000004970
65,256,0.000004504
66,256,0.000004596
67,256,0.000004705
68,256,0.000004337
69,256,0.000004802
70,256,0.000004342
71,256,0.000004655
72,256,0.000004500
73,256,0.000004516
74,256,0.000006300
75,256,0.000004521
76,256,0.000004319
77,256,0.000004683
78,256,0.000004409
79,256,0.000004592
80,256,0.000004404
81,256,0.000004487
82,256,0.000004394
83,256,0.000004657
84,256,0.000004371
85,256,0.000004562
86,256,0.000004322
87,256,0.000004859
88,256,0.000004188
89,256,0.000006265
90,256,0.000004571
91,256,0.000004851
92,256,0.000004539
93,256,0.000004740
94,256,0.000004542
95,256,0.000004714
96,256,0.000004602
97,256,0.000004294
98,256,0.000004400
99,256,0.000004496
0,512,0.000000655
1,512,0.000000645
2,512,0.000000639
3,512,0.000000669
4,512,0.000000833
5,512,0.000000684
6,512,0.000000834
7,512,0.000001041
8,512,0.000000819
9,512,0.000000665
10,512,0.000000826
11,512,0.000000677
12,512,0.000000817
13,512,0.000000645
14,512,0.000000813
15,512,0.000000668
16,512,0.000000785
17,512,0.000000666
18,512,0.000001289
19,512,0.000000648
20,512,0.000000817
21,512,0.000000662
22,512,0.000000852
23,512,0.000000632
24,512,0.000004621
25,512,0.000004852
26,512,0.000004353
27,512,0.000005039
28,512,0.000004647
29,512,0.000004780
30,512,0.000004410
31,512,0.000004523
32,512,0.000004229
33,512,0.000004586
34,512,0.000004508
35,512,0.000004554
36,512,0.000005067
37,512,0.000004837
38,512,0.000004427
39,512,0.000004511
40,512,0.000004247
41,512,0.000028610
42,512,0.000004449
43,512,0.000004614
44,512,0.000004305
45,512,0.000004325
46,512,0.000004594
47,512,0.000004941
48,512,0.000004528
49,512,0.000004495
50,512,0.000004458
51,512,0.000004545
52,512,0.000004565
53,512,0.000004321
54,512,0.000004413
55,512,0.000004638
56,512,0.000004298
57,512,0.000004273
58,512,0.000004694
59,512,0.000004506
60,512,0.000004624
61,512,0.000004231
62,512,0.000004432
63,512,0.000004398
64,512,0.000004321
65,512,0.000004240
66,512,0.000004469
67,512,0.000004299
68,512,0.000004618
69,512,0.000004564
70,512,0.000004552
71,512,0.000004472
72,512,0.000004609
73,512,0.000004445
74,512,0.000004640
75,512,0.000004464
76,512,0.000004554
77,512,0.000004590
78,512,0.000004794
79,512,0.000004968
80,512,0.000005096
81,512,0.000005018
82,512,0.000004553
83,512,0.000004502
84,512,0.000004633
85,512,0.000004546
86,512,0.000004593
87,512,0.000004591
88,512,0.000004667
89,512,0.000004334
90,512,0.000004727
91,512,0.000004451
92,512,0.000004651
93,512,0.000004585
94,512,0.000004458
95,512,0.000004654
96,512,0.000004534
97,512,0.000004449
98,512,0.000004551
99,512,0.000004503
0,768,0.000000722
1,768,0.000000823
2,768,0.000000702
3,768,0.000000851
4,768,0.000004369
5,768,0.000004535
6,768,0.000004656
7,768,0.000004605
8,768,0.000004703
9,768,0.000006532
10,768,0.000004289
11,768,0.000004571
12,768,0.000004608
13,768,0.000004570
14,768,0.000004392
15,768,0.000004436
16,768,0.000006033
17,768,0.000004395
18,768,0.000004894
19,768,0.000004538
20,768,0.000007315
21,768,0.000004608
22,768,0.000004780
23,768,0.000004626
24,768,0.000004768
25,768,0.000004694
26,768,0.000004822
27,768,0.000004648
28,768,0.000004808
29,768,0.000004344
30,768,0.000004726
31,768,0.000005699
32,768,0.000004653
33,768,0.000004662
34,768,0.000004619
35,768,0.000004436
36,768,0.000004437
37,768,0.000004773
38,768,0.000006237
39,768,0.000004428
40,768,0.000004991
41,768,0.000004656
42,768,0.000004732
43,768,0.000004566
44,768,0.000004320
45,768,0.000004993
46,768,0.000017321
47,768,0.000004883
48,768,0.000004630
49,768,0.000004771
50,768,0.000004873
51,768,0.000004547
52,768,0.000004733
53,768,0.000004368
54,768,0.000004500
55,768,0.000004631
56,768,0.000005051
57,768,0.000004421
58,768,0.000004665
59,768,0.000004524
60,768,0.000006183
61,768,0.000004804
62,768,0.000004740
63,768,0.000005065
64,768,0.000004993
65,768,0.000004837
66,768,0.000004649
67,768,0.000004720
68,768,0.000004607
69,768,0.000004549
70,768,0.000004953
71,768,0.000004571
72,768,0.000004393
73,768,0.000004465
74,768,0.000004471
75,768,0.000004461
76,768,0.000004626
77,768,0.000005266
78,768,0.000004456
79,768,0.000004600
80,768,0.000004838
81,768,0.000004916
82,768,0.000004603
83,768,0.000004593
84,768,0.000004407
85,768,0.000004800
86,768,0.000004584
87,768,0.000005021
88,768,0.000004534
89,768,0.000004829
90,768,0.000004497
91,768,0.000004621
92,768,0.000004582
93,768,0.000004547
94,768,0.000004370
95,768,0.000004573
96,768,0.000004816
97,768,0.000004876
98,768,0.000004530
99,768,0.000004682
0,1024,0.000000793
1,1024,0.000000866
2,1024,0.000000721
3,1024,0.000000870
4,1024,0.000000792
5,1024,0.000000757
