Sr,Size,Latency
0,1,0.000007076
1,1,0.000006988
2,1,0.000007049
3,1,0.000006653
4,1,0.000006362
5,1,0.000006570
6,1,0.000006990
7,1,0.000006969
8,1,0.000007380
9,1,0.000008047
10,1,0.000006840
11,1,0.000006778
12,1,0.000006795
13,1,0.000006118
14,1,0.000006301
15,1,0.000005918
16,1,0.000005946
17,1,0.000006215
18,1,0.000005894
19,1,0.000005861
20,1,0.000005670
21,1,0.000006081
22,1,0.000005818
23,1,0.000006378
24,1,0.000005833
25,1,0.000006018
26,1,0.000005187
27,1,0.000005162
28,1,0.000005403
29,1,0.000005253
30,1,0.000005183
31,1,0.000005251
32,1,0.000005372
33,1,0.000005457
34,1,0.000005122
35,1,0.000005281
36,1,0.000005175
37,1,0.000005359
38,1,0.000005362
39,1,0.000005377
40,1,0.000004901
41,1,0.000005044
42,1,0.000004983
43,1,0.000005158
44,1,0.000005064
45,1,0.000005054
46,1,0.000007106
47,1,0.000005089
48,1,0.000004880
49,1,0.000004948
50,1,0.000004903
51,1,0.000005096
52,1,0.000004779
53,1,0.000004818
54,1,0.000004950
55,1,0.000004735
56,1,0.000004805
57,1,0.000004666
58,1,0.000005020
59,1,0.000004878
60,1,0.000004832
61,1,0.000005065
62,1,0.000004816
63,1,0.000004766
64,1,0.000017651
65,1,0.000004869
66,1,0.000004794
67,1,0.000005103
68,1,0.000004676
69,1,0.000004908
70,1,0.000000673
71,1,0.000000808
72,1,0.000000688
73,1,0.000000697
74,1,0.000000724
75,1,0.000000701
76,1,0.000000699
77,1,0.000000835
78,1,0.000000709
79,1,0.000000729
80,1,0.000000886
81,1,0.000000661
82,1,0.000000814
83,1,0.000000703
84,1,0.000000822
85,1,0.000000684
86,1,0.000000704
87,1,0.000000684
88,1,0.000000655
89,1,0.000000693
90,1,0.000000683
91,1,0.000001051
92,1,0.000000688
93,1,0.000000692
94,1,0.000000818
95,1,0.000000691
96,1,0.000000857
97,1,0.000000673
98,1,0.000000824
99,1,0.000000686
0,256,0.000000770
1,256,0.000000759
2,256,0.000000784
3,256,0.000000891
4,256,0.000000783
5,256,0.000000732
6,256,0.000000722
7,256,0.000000722
8,256,0.000000779
9,256,0.000000738
10,256,0.000000746
11,256,0.000000734
12,256,0.000000768
13,256,0.000000808
14,256,0.000000725
15,256,0.000000735
16,256,0.000000781
17,256,0.000000737
18,256,0.000000718
19,256,0.000000719
20,256,0.000000725
21,256,0.000000721
22,256,0.000000764
23,256,0.000000885
24,256,0.000000734
25,256,0.000000754
26,256,0.000000710
27,256,0.000000860
28,256,0.000000718
29,256,0.000000891
30,256,0.000000736
31,256,0.000000874
32,256,0.000001112
33,256,0.000000859
34,256,0.000000715
35,256,0.000000805
36,256,0.000000719
37,256,0.000000746
38,256,0.000000742
39,256,0.000000749
40,256,0.000000740
41,256,0.000000747
42,256,0.000000751
43,256,0.000000736
44,256,0.000000751
45,256,0.000001416
46,256,0.000004881
47,256,0.000004937
48,256,0.000005520
49,256,0.000005002
50,256,0.000005008
51,256,0.000004902
52,256,0.000004909
53,256,0.000004739
54,256,0.000004819
55,256,0.000004875
56,256,0.000004856
57,256,0.000005011
58,256,0.000004880
59,256,0.000004852
60,256,0.000005034
61,256,0.000004907
62,256,0.000005104
63,256,0.000005075
64,256,0.000005089
65,256,0.000005083
66,256,0.000005297
67,256,0.000004922
68,256,0.000004939
69,256,0.000005241
70,256,0.000004912
71,256,0.000004964
72,256,0.000005022
73,256,0.000005085
74,256,0.000004769
75,256,0.000005269
76,256,0.000004982
77,256,0.000005133
78,256,0.000005302
79,256,0.000004984
80,256,0.000004901
81,256,0.000005273
82,256,0.000004813
83,256,0.000004950
84,256,0.000004788
85,256,0.000005149
86,256,0.000004877
87,256,0.000004897
88,256,0.000004844
89,256,0.000005273
90,256,0.000005047
91,256,0.000005137
92,256,0.000005270
93,256,0.000006074
94,256,0.000004885
95,256,0.000005041
96,256,0.000004860
97,256,0.000005051
98,256,0.000004858
99,256,0.000005064
0,512,0.000000754
1,512,0.000000823
2,512,0.000000724
3,512,0.000000842
4,512,0.000000733
5,512,0.000001457
6,512,0.000000792
7,512,0.000000802
8,512,0.000000779
9,512,0.000000760
10,512,0.000000790
11,512,0.000000759
12,512,0.000000758
13,512,0.000000767
14,512,0.000000872
15,512,0.000000728
16,512,0.000000863
17,512,0.000000942
18,512,0.000000752
19,512,0.000000751
20,512,0.000001374
21,512,0.000000803
22,512,0.000000774
23,512,0.000000784
24,512,0.000000882
25,512,0.000000794
26,512,0.000000916
27,512,0.000000794
28,512,0.000000976
29,512,0.000000864
30,512,0.000000945
31,512,0.000000760
32,512,0.000000754
33,512,0.000000787
34,512,0.000000866
35,512,0.000001198
36,512,0.000000868
37,512,0.000000761
38,512,0.000000722
39,512,0.000000768
40,512,0.000000805
41,512,0.000000779
42,512,0.000000779
43,512,0.000000750
44,512,0.000000770
45,512,0.000001875
46,512,0.000005117
47,512,0.000005150
48,512,0.000004989
49,512,0.000005060
50,512,0.000005156
51,512,0.000005068
52,512,0.000005235
53,512,0.000005052
54,512,0.000005065
55,512,0.000005195
56,512,0.000005026
57,512,0.000005259
58,512,0.000005256
59,512,0.000005063
60,512,0.000005368
61,512,0.000005175
62,512,0.000005059
63,512,0.000005153
64,512,0.000007003
65,512,0.000005211
66,512,0.000005113
67,512,0.000005265
68,512,0.000005232
69,512,0.000005034
70,512,0.000005196
71,512,0.000005014
72,512,0.000005277
73,512,0.000006710
74,512,0.000005177
75,512,0.000005323
76,512,0.000005153
77,512,0.000004962
78,512,0.000005156
79,512,0.000006546
80,512,0.000005701
81,512,0.000006841
82,512,0.000005178
83,512,0.000014871
84,512,0.000005187
85,512,0.000005111
86,512,0.000005145
87,512,0.000004971
88,512,0.000005268
89,512,0.000005556
90,512,0.000005043
91,512,0.000005309
92,512,0.000005094
93,512,0.000005308
94,512,0.000005004
95,512,0.000005235
96,512,0.000005175
97,512,0.000005367
98,512,0.000005026
99,512,0.000004954
0,768,0.000001482
1,768,0.000000953
2,768,0.000000825
3,768,0.000000904
4,768,0.000000800
5,768,0.000000933
6,768,0.000000796
7,768,0.000000954
8,768,0.000000851
9,768,0.000000913
10,768,0.000000826
11,768,0.000000970
12,768,0.000000826
13,768,0.000000953
14,768,0.000001257
15,768,0.000000952
16,768,0.000000830
17,768,0.000000920
18,768,0.000000841
19,768,0.000000944
20,768,0.000000867
21,768,0.000001349
22,768,0.000000839
23,768,0.000000926
24,768,0.000000843
25,768,0.000000926
26,768,0.000000874
27,768,0.000000859
28,768,0.000000949
29,768,0.000009077
30,768,0.000001027
31,768,0.000000839
32,768,0.000000926
33,768,0.000001302
34,768,0.000000969
35,768,0.000000856
36,768,0.000000938
37,768,0.000000834
38,768,0.000000928
39,768,0.000000843
40,768,0.000000943
41,768,0.000000938
42,768,0.000000871
43,768,0.000000992
44,768,0.000000868
45,768,0.000000933
46,768,0.000005289
47,768,0.000005488
48,768,0.000004951
49,768,0.000005292
50,768,0.000005110
51,768,0.000005404
52,768,0.000005498
53,768,0.000005586
54,768,0.000005360
55,768,0.000005382
56,768,0.000005184
57,768,0.000005141
58,768,0.000005095
59,768,0.000005113
60,768,0.000005262
61,768,0.000005177
62,768,0.000005161
63,768,0.000005150
64,768,0.000005187
65,768,0.000005304
66,768,0.000005203
67,768,0.000005306
68,768,0.000005245
69,768,0.000005421
70,768,0.000005279
71,768,0.000005265
72,768,0.000005243
73,768,0.000005213
74,768,0.000005296
75,768,0.000005449
76,768,0.000005307
77,768,0.000007134
78,768,0.000005519
79,768,0.000005146
80,768,0.000005251
81,768,0.000005510
82,768,0.000005383
83,768,0.000005307
84,768,0.000131423
85,768,0.000005274
86,768,0.000005137
87,768,0.000005427
88,768,0.000005260
89,768,0.000005122
90,768,0.000005401
91,768,0.000005095
92,768,0.000005122
93,768,0.000005188
94,768,0.000005232
95,768,0.000005417
96,768,0.000005158
97,768,0.000005234
98,768,0.000005490
99,768,0.000005639
0,1024,0.000000880
1,1024,0.000000834
2,1024,0.000000954
3,1024,0.000000830
4,1024,0.000000917
5,1024,0.000000851
6,1024,0.000000867
7,1024,0.000000836
8,1024,0.000000834
9,1024,0.000000866
10,1024,0.000001002
11,1024,0.000000905
12,1024,0.000000832
13,1024,0.000000920
14,1024,0.000000842
15,1024,0.000000909
16,1024,0.000001542
17,1024,0.000000903
18,1024,0.000001459
19,1024,0.000000887
20,1024,0.000000821
21,1024,0.000000919
22,1024,0.000000843
23,1024,0.000000973
24,1024,0.000000850
25,1024,0.000000940
26,1024,0.000000847
27,1024,0.000000916
28,1024,0.000001368
29,1024,0.000000933
30,1024,0.000000835
31,1024,0.000000946
32,1024,0.000000828
33,1024,0.000000932
34,1024,0.000000928
35,1024,0.000000860
36,1024,0.000000958
37,1024,0.000000843
38,1024,0.000000945
39,1024,0.000000872
40,1024,0.000000969
41,1024,0.000000844
42,1024,0.000000956
43,1024,0.000000851
44,1024,0.000000975
45,1024,0.000000845
46,1024,0.000005250
47,1024,0.000005299
48,1024,0.000005260
49,1024,0.000005377
50,1024,0.000005306
51,1024,0.000005093
52,1024,0.000005303
53,1024,0.000005303
54,1024,0.000005217
55,1024,0.000005212
56,1024,0.000005271
57,1024,0.000005095
58,1024,0.000005221
59,1024,0.000005118
60,1024,0.000005369
61,1024,0.000005195
62,1024,0.000005136
63,1024,0.000005219
64,1024,0.000005649
65,1024,0.000005133
66,1024,0.000005123
67,1024,0.000005792
68,1024,0.000005817
69,1024,0.000005517
70,1024,0.000005309
71,1024,0.000005070
72,1024,0.000005122
73,1024,0.000005149
74,1024,0.000005189
75,1024,0.000007015
76,1024,0.000005309
77,1024,0.000005274
78,1024,0.000005291
79,1024,0.000005212
80,1024,0.000005245
81,1024,0.000005189
82,1024,0.000005351
83,1024,0.000005187
84,1024,0.000005330
85,1024,0.000005218
86,1024,0.000005217
87,1024,0.000005180
88,1024,0.000005042
89,1024,0.000005222
90,1024,0.000005121
91,1024,0.000005292
92,1024,0.000005116
93,1024,0.000005298
94,1024,0.000005156
95,1024,0.000005317
96,1024,0.000005384
97,1024,0.000005346
98,1024,0.000004980
99,1024,0.000006263
0,1280,0.000000996
1,1280,0.000001001
2,1280,0.000000983
3,1280,0.000000924
4,1280,0.000000836
5,1280,0.000000841
6,1280,0.000000868
7,1280,0.000000957
8,1280,0.000000843
9,1280,0.000000958
10,1280,0.000000852
11,1280,0.000000916
12,1280,0.000001573
13,1280,0.000000880
14,1280,0.000000884
15,1280,0.000000838
16,1280,0.000000953
17,1280,0.000000839
18,1280,0.000000967
19,1280,0.000000846
20,1280,0.000000925
21,1280,0.000000840
22,1280,0.000000860
23,1280,0.000000999
24,1280,0.000001415
25,1280,0.000000985
26,1280,0.000000982
27,1280,0.000000816
28,1280,0.000000840
29,1280,0.000000821
30,1280,0.000000857
31,1280,0.000001502
32,1280,0.000000867
33,1280,0.000000933
34,1280,0.000000950
35,1280,0.000000938
36,1280,0.000000856
37,1280,0.000000940
38,1280,0.000000847
39,1280,0.000000962
40,1280,0.000000858
41,1280,0.000000964
42,1280,0.000000807
43,1280,0.000000981
44,1280,0.000001258
45,1280,0.000000970
46,1280,0.000005265
47,1280,0.000005305
48,1280,0.000005198
49,1280,0.000005422
50,1280,0.000005239
51,1280,0.000005384
52,1280,0.000006857
53,1280,0.000005339
54,1280,0.000005257
55,1280,0.000005225
56,1280,0.000005213
57,1280,0.000005278
58,1280,0.000006611
59,1280,0.000005249
60,1280,0.000005220
61,1280,0.000005156
62,1280,0.000005495
63,1280,0.000005657
64,1280,0.000005591
65,1280,0.000005192
66,1280,0.000005240
67,1280,0.000005094
68,1280,0.000005474
69,1280,0.000005268
70,1280,0.000005248
71,1280,0.000004976
72,1280,0.000005051
73,1280,0.000089448
74,1280,0.000005339
75,1280,0.000004994
76,1280,0.000005193
77,1280,0.000005196
78,1280,0.000005278
79,1280,0.000005181
80,1280,0.000005208
81,1280,0.000005048
82,1280,0.000005265
83,1280,0.000005224
84,1280,0.000005415
85,1280,0.000005160
86,1280,0.000005201
87,1280,0.000005357
88,1280,0.000005368
89,1280,0.000005290
90,1280,0.000005495
91,1280,0.000005178
92,1280,0.000005360
93,1280,0.000005115
94,1280,0.000005188
95,1280,0.000006987
96,1280,0.000005287
97,1280,0.000005292
98,1280,0.000005336
99,1280,0.000005599
0,1536,0.000000874
1,1536,0.000000964
2,1536,0.000000982
