Sr,Size,Latency
0,1,0.000005002
1,1,0.000001393
2,1,0.000000999
3,1,0.000000943
4,1,0.000000925
5,1,0.000000926
6,1,0.000000926
7,1,0.000000924
8,1,0.000000924
9,1,0.000000925
10,1,0.000000927
11,1,0.000000925
12,1,0.000000927
13,1,0.000000926
14,1,0.000000927
15,1,0.000000924
16,1,0.000000928
17,1,0.000000930
18,1,0.000000929
19,1,0.000000928
20,1,0.000000928
21,1,0.000000930
22,1,0.000000927
23,1,0.000000929
24,1,0.000000934
25,1,0.000000930
26,1,0.000000929
27,1,0.000000928
28,1,0.000000928
29,1,0.000000933
30,1,0.000000927
31,1,0.000000928
32,1,0.000000927
33,1,0.000000928
34,1,0.000000929
35,1,0.000000926
36,1,0.000000931
37,1,0.000000930
38,1,0.000000926
39,1,0.000000924
40,1,0.000000926
41,1,0.000000925
42,1,0.000000925
43,1,0.000000924
44,1,0.000000930
45,1,0.000000926
46,1,0.000000927
47,1,0.000000928
48,1,0.000000928
49,1,0.000000928
50,1,0.000000929
51,1,0.000000926
52,1,0.000000928
53,1,0.000000928
54,1,0.000000927
55,1,0.000000927
56,1,0.000000928
57,1,0.000000929
58,1,0.000000930
59,1,0.000000929
60,1,0.000000929
61,1,0.000000936
62,1,0.000000930
63,1,0.000000928
64,1,0.000000926
65,1,0.000000928
66,1,0.000000928
67,1,0.000000926
68,1,0.000000927
69,1,0.000000927
70,1,0.000000926
71,1,0.000000927
72,1,0.000000925
73,1,0.000000926
74,1,0.000000925
75,1,0.000000924
76,1,0.000000926
77,1,0.000000927
78,1,0.000000926
79,1,0.000000925
80,1,0.000000926
81,1,0.000000926
82,1,0.000000926
83,1,0.000000926
84,1,0.000000925
85,1,0.000000930
86,1,0.000000928
87,1,0.000000926
88,1,0.000000928
89,1,0.000000931
90,1,0.000000928
91,1,0.000000930
92,1,0.000000931
93,1,0.000000931
94,1,0.000000930
95,1,0.000000928
96,1,0.000000930
97,1,0.000000928
98,1,0.000000929
99,1,0.000000927
100,1,0.000000928
101,1,0.000000928
102,1,0.000000926
103,1,0.000000925
104,1,0.000000927
105,1,0.000000927
106,1,0.000000925
107,1,0.000000927
108,1,0.000000923
109,1,0.000000927
110,1,0.000000926
111,1,0.000000923
112,1,0.000000925
113,1,0.000000928
114,1,0.000000930
115,1,0.000000927
116,1,0.000000927
117,1,0.000000929
118,1,0.000000926
119,1,0.000000932
120,1,0.000000924
121,1,0.000000931
122,1,0.000002063
123,1,0.000000968
124,1,0.000000924
125,1,0.000000930
126,1,0.000000921
127,1,0.000000928
128,1,0.000000919
129,1,0.000000929
130,1,0.000000919
131,1,0.000000926
132,1,0.000000918
133,1,0.000000930
134,1,0.000000920
135,1,0.000000926
