Sr,latency
0,0.002368907
1,0.002346728
2,0.002337801
3,0.002325354
4,0.002358255
5,0.002356265
6,0.002356205
7,0.002274481
8,0.002267624
9,0.002313265
10,0.002267567
11,0.002377426
12,0.002308657
13,0.002269548
14,0.002278183
15,0.002276985
16,0.002302254
17,0.002297119
18,0.002335134
19,0.002309744
20,0.002269535
21,0.002281042
22,0.002529484
23,0.002798188
24,0.003005010
25,0.004907311
26,0.002871522
27,0.002890628
28,0.003415497
29,0.002878813
30,0.002579029
31,0.002472679
32,0.002515790
33,0.002550577
34,0.002837065
35,0.002581842
36,0.002608030
37,0.002489334
38,0.002662444
39,0.002897925
40,0.002542624
41,0.002490941
42,0.002328685
43,0.002375555
44,0.002364412
45,0.002436278
46,0.002367429
47,0.002326227
48,0.002365760
49,0.002397535
50,0.002326623
51,0.002361971
52,0.002341656
53,0.002373102
54,0.002362743
55,0.002287818
56,0.002286129
57,0.002274176
58,0.002317227
59,0.002274752
60,0.002327375
61,0.002481905
62,0.002396795
63,0.002332061
64,0.002406739
65,0.002359974
66,0.002368623
67,0.002285905
68,0.002384034
69,0.002427180
70,0.002347471
71,0.004776766
72,0.002849121
73,0.002896713
74,0.002774033
75,0.002810286
76,0.002855587
77,0.002794495
78,0.002841544
79,0.002701070
80,0.002285561
81,0.002282384
82,0.002273481
83,0.002286417
84,0.002279130
85,0.002274228
86,0.002284438
87,0.002277865
88,0.002277337
89,0.002276018
90,0.002283201
91,0.002297083
92,0.002296168
93,0.002340435
94,0.002294936
95,0.002308958
96,0.002375103
97,0.002315126
98,0.002338557
99,0.002392208
100,0.002390102
101,0.002277137
102,0.002317482
103,0.002318821
104,0.002320155
105,0.002319839
106,0.002302466
107,0.002283732
108,0.002308257
109,0.002316573
110,0.002339443
111,0.002276261
112,0.002374042
113,0.002351949
114,0.002357214
115,0.002393404
116,0.002372634
117,0.002451072
118,0.002326027
119,0.002328682
120,0.002309546
121,0.002335158
122,0.002337306
123,0.002330881
124,0.002350354
125,0.002496036
126,0.002397217
127,0.002281647
128,0.002274409
129,0.002289138
130,0.002275497
131,0.002286031
132,0.002277997
133,0.002292243
134,0.002285035
135,0.002278483
136,0.002292322
137,0.002326269
138,0.002288244
139,0.002300636
140,0.002411108
141,0.002288874
142,0.002289710
143,0.002307835
144,0.002281337
145,0.002284523
146,0.002290953
147,0.002277722
148,0.002293671
149,0.002287130
150,0.002280669
151,0.002273866
152,0.002281308
153,0.002294948
154,0.002277904
155,0.002282948
156,0.002287835
157,0.002339642
158,0.002278214
159,0.002280766
160,0.002287753
161,0.002274962
162,0.002298789
163,0.002281460
164,0.002281282
165,0.002274195
166,0.002300938
167,0.002575626
168,0.002275630
169,0.002289177
170,0.002274054
171,0.002280986
172,0.002273949
173,0.002284103
174,0.002278041
175,0.002318279
176,0.002362106
177,0.002328344
178,0.002280259
179,0.002280054
180,0.002278804
181,0.002276342
182,0.002279981
183,0.002307598
184,0.002272060
185,0.002280301
186,0.002278505
187,0.002279815
188,0.002276465
189,0.002271572
190,0.002292218
191,0.002300354
192,0.002285229
193,0.002267536
194,0.002290276
195,0.002302318
196,0.002268842
197,0.002279396
198,0.002266136
199,0.002289735
200,0.002282101
201,0.002281493
202,0.002274914
203,0.002269860
204,0.002282279
205,0.002268051
206,0.002285355
207,0.002296793
208,0.002279252
209,0.002283090
210,0.002270614
211,0.002286382
212,0.002326641
213,0.002284359
214,0.002271461
215,0.002284656
216,0.002278181
217,0.002275850
218,0.002355531
219,0.002269826
220,0.002360997
221,0.002315580
222,0.002306227
223,0.002439774
224,0.002279635
225,0.002277921
226,0.002272165
227,0.002277285
228,0.002284142
229,0.002270990
230,0.002319440
231,0.002375372
232,0.002288762
233,0.002332303
234,0.002408735
235,0.002387201
236,0.002312286
237,0.002311996
238,0.002277855
239,0.002278261
240,0.002216854
241,0.002258008
242,0.002254752
243,0.002245816
244,0.002258006
245,0.002222806
246,0.002250791
247,0.002218980
248,0.002257432
249,0.002289753
250,0.002220280
251,0.002256613
252,0.002248581
253,0.002442067
254,0.002274570
255,0.002282727
256,0.002312116
257,0.002223932
258,0.002309332
259,0.002519562
260,0.002325070
261,0.002275631
262,0.002303988
263,0.002451957
264,0.002398864
265,0.002312295
266,0.002283629
267,0.002256662
268,0.002257434
269,0.002219688
270,0.002391822
271,0.002458290
272,0.002503824
273,0.002430393
274,0.002325786
275,0.002386902
276,0.002449466
277,0.002308641
278,0.002271421
279,0.002313292
280,0.002285918
281,0.002274548
282,0.002318367
283,0.002276828
284,0.002311253
285,0.002302298
286,0.002311559
287,0.002312631
288,0.002283809
289,0.002318212
290,0.002273040
291,0.002308340
292,0.002304514
293,0.002333012
294,0.002310663
295,0.002277143
296,0.002310439
297,0.002284928
298,0.002307489
299,0.002342124
300,0.002273361
301,0.002301612
302,0.002271900
303,0.002400955
304,0.002266357
305,0.002310931
306,0.002303398
307,0.002266585
308,0.002496471
309,0.002295148
310,0.002305620
311,0.002271552
312,0.002300750
313,0.002307032
314,0.002270151
315,0.002391761
316,0.002270683
317,0.002400019
318,0.002340679
319,0.002325755
320,0.002328001
321,0.002331728
322,0.002386554
323,0.002333471
324,0.002358758
325,0.002336597
326,0.002333593
327,0.002364083
328,0.002325095
329,0.002570014
330,0.002870695
331,0.002404348
332,0.002388273
333,0.002368940
334,0.002329218
335,0.002301577
336,0.002304715
337,0.002285939
338,0.002276255
339,0.002349803
340,0.002324509
341,0.002282251
342,0.002323164
343,0.002281823
344,0.002285942
345,0.002370701
346,0.002411585
347,0.002459751
348,0.002362998
349,0.002279162
350,0.002274591
351,0.002291322
352,0.002281391
353,0.002275975
354,0.002288277
355,0.002274692
356,0.002283009
357,0.002275184
358,0.002406463
359,0.002363393
360,0.002307459
361,0.002384005
362,0.002312793
363,0.002287857
364,0.002326101
365,0.002292094
366,0.002337820
367,0.002327514
368,0.002450501
369,0.002393289
370,0.002421363
371,0.002341778
372,0.002425358
373,0.002344092
374,0.002325940
375,0.002359560
376,0.002331217
377,0.002321318
378,0.002383961
379,0.002330891
380,0.002304670
381,0.002348595
382,0.002275153
383,0.002304331
384,0.002277635
385,0.002306124
386,0.002272854
387,0.002276374
388,0.002351497
389,0.002931053
390,0.002949796
391,0.002323914
392,0.002299923
393,0.002311869
394,0.002272184
395,0.002334537
396,0.002284304
397,0.002395496
398,0.002329499
399,0.002402685
400,0.002371234
401,0.002297262
402,0.002309310
403,0.002293917
404,0.002274855
405,0.002434343
406,0.002385091
407,0.002428246
408,0.002426628
409,0.002330303
410,0.002377314
411,0.002419576
412,0.002428040
413,0.002444821
414,0.002316459
415,0.002424790
416,0.002383855
417,0.002500551
418,0.002332966
419,0.002309404
420,0.002330105
421,0.002359290
422,0.002344511
423,0.002379247
424,0.002378588
425,0.002317526
426,0.002344962
427,0.002291911
428,0.002289359
429,0.002338465
430,0.002354686
431,0.002288436
432,0.002287796
433,0.002289527
434,0.002383928
435,0.002300713
436,0.002329928
437,0.002279810
438,0.002336442
439,0.002373189
440,0.002398936
441,0.002499192
442,0.002341459
443,0.002304336
444,0.002384637
445,0.002396405
446,0.002364469
447,0.002406642
448,0.002314401
449,0.002330962
450,0.002295113
451,0.002311007
452,0.002360862
453,0.002372396
454,0.002415056
455,0.002354501
456,0.002371048
