Sr,Size,Latency
0,1,0.000000075
1,1,0.000000044
2,1,0.000000028
3,1,0.000000029
4,1,0.000000029
5,1,0.000000029
6,1,0.000000030
7,1,0.000000028
8,1,0.000000032
9,1,0.000000028
10,1,0.000000028
11,1,0.000000028
12,1,0.000000029
13,1,0.000000029
14,1,0.000000028
15,1,0.000000027
16,1,0.000000028
17,1,0.000000028
18,1,0.000000029
19,1,0.000000029
20,1,0.000000029
21,1,0.000000028
22,1,0.000000027
23,1,0.000000028
24,1,0.000000032
25,1,0.000000029
26,1,0.000000029
27,1,0.000000028
28,1,0.000000028
29,1,0.000000029
30,1,0.000000028
31,1,0.000000029
32,1,0.000000029
33,1,0.000000028
34,1,0.000000028
35,1,0.000000029
36,1,0.000000030
37,1,0.000000029
38,1,0.000000028
39,1,0.000000028
40,1,0.000000028
41,1,0.000000028
42,1,0.000000031
43,1,0.000000028
44,1,0.000002829
45,1,0.000014247
46,1,0.000003237
47,1,0.000002833
48,1,0.000002873
49,1,0.000002862
50,1,0.000002821
51,1,0.000002853
52,1,0.000002959
53,1,0.000002886
54,1,0.000002989
55,1,0.000002977
56,1,0.000002985
57,1,0.000002820
58,1,0.000003120
59,1,0.000002893
60,1,0.000002920
61,1,0.000002915
62,1,0.000003062
63,1,0.000003004
64,1,0.000002598
65,1,0.000003293
66,1,0.000002758
67,1,0.000002980
68,1,0.000002865
69,1,0.000002840
70,1,0.000003170
71,1,0.000002936
72,1,0.000003029
73,1,0.000003044
74,1,0.000003035
75,1,0.000003160
76,1,0.000004210
77,1,0.000005534
78,1,0.000005712
79,1,0.000005433
80,1,0.000005325
81,1,0.000005802
82,1,0.000005354
83,1,0.000005512
84,1,0.000005251
85,1,0.000005532
86,1,0.000005553
87,1,0.000005419
88,1,0.000005489
89,1,0.000005618
90,1,0.000005397
91,1,0.000005426
92,1,0.000005453
93,1,0.000005694
94,1,0.000005515
95,1,0.000005641
96,1,0.000005400
97,1,0.000005381
98,1,0.000005635
99,1,0.000005554
0,256,0.000000029
1,256,0.000000030
2,256,0.000000030
3,256,0.000000029
4,256,0.000000030
5,256,0.000000029
6,256,0.000000030
7,256,0.000000028
8,256,0.000000029
9,256,0.000000031
10,256,0.000000029
11,256,0.000000029
12,256,0.000000030
13,256,0.000000029
14,256,0.000000029
15,256,0.000000033
16,256,0.000000029
17,256,0.000000028
18,256,0.000000029
19,256,0.000000030
20,256,0.000000028
21,256,0.000000029
22,256,0.000000029
23,256,0.000000029
24,256,0.000000037
25,256,0.000000029
26,256,0.000000029
27,256,0.000000033
28,256,0.000000029
29,256,0.000000029
30,256,0.000000029
31,256,0.000000029
32,256,0.000000029
33,256,0.000000028
34,256,0.000000030
35,256,0.000000032
36,256,0.000000030
37,256,0.000002947
38,256,0.000003084
39,256,0.000003163
40,256,0.000002813
41,256,0.000003250
42,256,0.000003007
43,256,0.000003018
44,256,0.000002817
45,256,0.000003020
46,256,0.000003507
47,256,0.000003017
48,256,0.000003119
49,256,0.000003165
50,256,0.000003070
51,256,0.000002913
52,256,0.000003022
53,256,0.000003095
54,256,0.000003042
55,256,0.000002947
56,256,0.000002815
57,256,0.000003320
58,256,0.000003156
59,256,0.000002780
60,256,0.000002971
61,256,0.000003040
62,256,0.000003147
63,256,0.000003096
64,256,0.000002919
65,256,0.000002997
66,256,0.000002995
67,256,0.000003028
68,256,0.000002901
69,256,0.000002972
70,256,0.000003216
71,256,0.000002997
72,256,0.000002972
73,256,0.000003135
74,256,0.000002988
75,256,0.000002961
76,256,0.000002945
77,256,0.000003075
78,256,0.000003074
79,256,0.000002880
80,256,0.000003024
81,256,0.000003014
82,256,0.000003229
83,256,0.000003184
84,256,0.000003018
85,256,0.000003088
86,256,0.000003727
87,256,0.000002773
88,256,0.000003133
89,256,0.000003095
90,256,0.000002818
91,256,0.000003111
92,256,0.000003050
93,256,0.000003073
94,256,0.000003197
95,256,0.000003078
96,256,0.000003074
97,256,0.000004585
98,256,0.000003036
99,256,0.000003168
0,512,0.000000029
1,512,0.000000030
2,512,0.000000032
3,512,0.000000029
4,512,0.000000029
5,512,0.000000029
6,512,0.000000030
7,512,0.000000028
8,512,0.000000029
9,512,0.000000030
10,512,0.000000030
11,512,0.000000030
12,512,0.000000030
13,512,0.000000029
14,512,0.000000029
15,512,0.000000028
16,512,0.000000029
17,512,0.000000029
18,512,0.000000029
19,512,0.000000030
20,512,0.000000029
21,512,0.000000037
22,512,0.000000029
23,512,0.000000029
24,512,0.000003175
25,512,0.000002876
26,512,0.000002907
27,512,0.000002907
28,512,0.000003025
29,512,0.000002866
30,512,0.000003050
31,512,0.000013128
32,512,0.000002916
33,512,0.000003186
34,512,0.000002892
35,512,0.000002900
36,512,0.000002977
37,512,0.000003035
