Sr,Size,Latency
0,1,0.000005500
1,1,0.000007888
2,1,0.000007702
3,1,0.000007639
4,1,0.000007513
5,1,0.000030566
6,1,0.000007724
7,1,0.000007512
8,1,0.000007660
9,1,0.000007660
10,1,0.000007590
11,1,0.000007908
12,1,0.000007896
13,1,0.000007461
14,1,0.000007560
15,1,0.000020337
16,1,0.000007469
17,1,0.000007441
18,1,0.000007528
19,1,0.000007627
20,1,0.000007409
21,1,0.000007583
22,1,0.000007756
23,1,0.000007631
24,1,0.000007590
25,1,0.000010065
26,1,0.000007583
27,1,0.000007834
28,1,0.000007553
29,1,0.000007443
30,1,0.000017401
31,1,0.000007542
32,1,0.000007996
33,1,0.000007574
34,1,0.000007554
35,1,0.000007633
36,1,0.000007488
37,1,0.000007597
38,1,0.000007622
39,1,0.000007426
40,1,0.000007644
41,1,0.000007564
42,1,0.000007774
43,1,0.000007569
44,1,0.000007631
45,1,0.000007539
46,1,0.000007639
47,1,0.000007633
48,1,0.000007759
49,1,0.000007866
50,1,0.000007708
51,1,0.000007509
52,1,0.000007799
53,1,0.000007848
54,1,0.000007954
55,1,0.000007693
56,1,0.000007605
57,1,0.000007521
58,1,0.000008060
59,1,0.000007516
60,1,0.000007568
61,1,0.000007511
62,1,0.000007775
63,1,0.000007494
64,1,0.000007615
65,1,0.000007821
66,1,0.000007663
67,1,0.000007860
68,1,0.000007457
69,1,0.000007592
70,1,0.000007573
71,1,0.000007513
72,1,0.000007843
73,1,0.000007497
74,1,0.000007573
75,1,0.000007858
76,1,0.000007416
77,1,0.000007629
78,1,0.000007618
79,1,0.000007582
80,1,0.000007604
81,1,0.000007709
82,1,0.000020569
83,1,0.000007650
84,1,0.000007601
85,1,0.000007491
86,1,0.000007797
87,1,0.000007645
88,1,0.000007780
89,1,0.000007848
90,1,0.000007813
91,1,0.000007546
92,1,0.000009467
93,1,0.000007576
94,1,0.000007513
95,1,0.000007464
96,1,0.000007652
97,1,0.000007545
98,1,0.000007812
99,1,0.000007911
0,256,0.000005491
1,256,0.000005375
2,256,0.000005428
3,256,0.000005211
4,256,0.000005671
5,256,0.000005361
6,256,0.000005396
7,256,0.000005347
8,256,0.000005575
9,256,0.000005246
10,256,0.000005428
11,256,0.000005575
12,256,0.000005230
13,256,0.000005676
14,256,0.000005670
15,256,0.000005234
16,256,0.000005295
17,256,0.000005340
18,256,0.000005505
19,256,0.000005396
20,256,0.000005499
21,256,0.000005544
22,256,0.000005450
23,256,0.000005622
24,256,0.000005526
25,256,0.000005391
26,256,0.000005359
27,256,0.000007015
28,256,0.000005465
29,256,0.000005613
30,256,0.000005481
31,256,0.000005514
32,256,0.000005420
33,256,0.000005612
34,256,0.000005396
35,256,0.000005454
36,256,0.000005508
37,256,0.000005456
38,256,0.000005496
39,256,0.000005362
40,256,0.000005389
41,256,0.000005378
42,256,0.000005504
43,256,0.000005228
44,256,0.000007030
45,256,0.000005481
46,256,0.000005507
47,256,0.000005438
48,256,0.000005545
49,256,0.000005333
50,256,0.000005519
51,256,0.000005407
52,256,0.000005407
53,256,0.000005423
54,256,0.000005494
55,256,0.000005493
56,256,0.000005393
57,256,0.000005408
58,256,0.000005406
59,256,0.000005379
60,256,0.000005922
61,256,0.000005408
62,256,0.000005411
63,256,0.000005452
64,256,0.000005438
65,256,0.000005425
66,256,0.000005605
67,256,0.000005338
68,256,0.000005515
69,256,0.000005685
70,256,0.000005510
71,256,0.000005342
72,256,0.000005504
73,256,0.000005306
74,256,0.000005895
75,256,0.000005531
76,256,0.000005496
77,256,0.000005325
78,256,0.000092396
79,256,0.000005346
80,256,0.000005324
81,256,0.000005455
82,256,0.000005360
83,256,0.000005281
84,256,0.000005438
85,256,0.000005651
86,256,0.000005363
87,256,0.000005262
88,256,0.000005401
89,256,0.000005446
90,256,0.000005406
91,256,0.000005675
92,256,0.000005579
